"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2024","5,286.78","5,277.81","5,286.78","5,250.17","18.06M","0.18%"
"12/04/2024","5,277.45","5,239.92","5,277.45","5,221.72","16.13M","0.73%"
"12/03/2024","5,239.21","5,218.78","5,247.89","5,200.78","18.82M","0.39%"
"12/02/2024","5,218.66","5,220.07","5,220.10","5,172.42","18.60M","0.15%"
"12/01/2024","5,210.96","5,219.92","5,220.56","5,192.44","11.65M","0.36%"
"11/28/2024","5,192.32","5,203.23","5,222.76","5,166.04","19.23M","-0.03%"
"11/27/2024","5,194.03","5,205.89","5,258.88","5,175.71","24.34M","-0.21%"
"11/26/2024","5,205.21","5,297.90","5,298.27","5,204.97","19.80M","-1.75%"
"11/25/2024","5,298.11","5,307.95","5,316.56","5,296.46","169.57M","-0.18%"
"11/24/2024","5,307.79","5,309.17","5,329.04","5,298.78","20.15M","0.30%"
"11/21/2024","5,291.87","5,293.46","5,310.79","5,282.28","23.22M","-0.21%"
"11/20/2024","5,303.18","5,295.91","5,305.21","5,275.85","17.52M","0.14%"
"11/19/2024","5,295.74","5,275.59","5,322.04","5,275.51","26.39M","0.55%"
"11/18/2024","5,266.77","5,240.50","5,294.72","5,230.66","29.19M","0.50%"
"11/17/2024","5,240.37","5,184.30","5,258.56","5,165.63","19.32M","-1.21%"
"11/14/2024","5,304.31","5,296.07","5,314.11","5,285.30","23.68M","0.33%"
"11/13/2024","5,286.78","5,304.87","5,314.22","5,286.16","31.65M","-0.51%"
"11/12/2024","5,313.85","5,316.88","5,316.99","5,278.44","21.23M","-0.05%"
"11/11/2024","5,316.76","5,315.01","5,333.10","5,288.76","29.45M","0.02%"
"11/10/2024","5,315.81","5,315.23","5,343.71","5,297.08","22.92M","0.19%"
"11/07/2024","5,305.80","5,242.44","5,324.13","5,241.81","41.73M","1.58%"
"11/06/2024","5,223.27","5,223.94","5,224.09","5,186.16","21.41M","0.01%"
"11/05/2024","5,222.58","5,203.66","5,222.90","5,175.04","25.22M","0.19%"
"11/04/2024","5,212.85","5,149.57","5,222.00","5,138.67","28.76M","1.39%"
"11/03/2024","5,141.35","5,125.59","5,151.03","5,122.94","14.59M","0.31%"
"10/31/2024","5,125.30","5,135.68","5,135.94","5,114.78","13.19M","-0.20%"
"10/30/2024","5,135.68","5,127.90","5,135.68","5,116.05","10.24M","0.17%"
"10/29/2024","5,127.20","5,127.22","5,136.76","5,116.92","10.64M","-0.01%"
"10/28/2024","5,127.73","5,134.37","5,145.70","5,126.97","11.22M","-0.13%"
"10/27/2024","5,134.25","5,132.90","5,153.57","5,132.90","10.43M","0.04%"
"10/24/2024","5,132.03","5,115.03","5,132.32","5,113.44","11.21M","0.33%"
"10/23/2024","5,115.09","5,124.29","5,134.04","5,113.45","14.30M","-0.17%"
"10/22/2024","5,123.82","5,145.39","5,145.69","5,123.82","12.83M","-0.41%"
"10/21/2024","5,144.99","5,134.97","5,153.54","5,126.11","13.98M","0.20%"
